10485 | 10486 | 10487 | 10488  | 10489  | 10490   | 10491
A1    | B1    | IIA1  | IIB21t | IIB22t | IIB3    | IIC
03‑17 | 19‑29 | 40‑60 | 71‑81  | 83‑98  | 105‑120 | 140-160
3.33  | 2.13  | 1.85  | 0.71   | 0.50   | 0.22    | 0.07
10    | 19    | 17    | 11     | 9      | 6       | 0
25.05 | 26.68 | 27.45 | 30.05  | 38.00  | 36.01   | 33.55
31.78 | 32.26 | 29.79 | 28.80  | 26.00  | 27.31   | 29.33
65.47 | 62.03 | 57.70 | 61.12  | 54.63  | 57.10   | 60.65
2.55  | 3.17  | 5.21  | 2.25   | 1.64   | 0.6     | 1.30
6.85  | 8.01  | 9.30  | 6.28   | 5.56   | 6.11    | 4.36
0.1   | 0.1   | 0.3   | 0.3    | 0.1    | 0.1     | 0.1
-     | -     | -     | -      | -      | -       | -
-     | -     | -     | -      | -      | -       | -
5.8   | 5.9   | 5.7   | 5.8    | 5.9    | 6.2     | 6.2
5.2   | 5.2   | 5.0   | 4.8    | 4.8    | 5.0     | 4.8
0.547 | 0.400 | 0.408 | 0.485  | 0.476  | 0.454   | 0.431
26.12 | 27.33 | 28.88 | 30.59  | 37.71  | 35.42   | 31.37
1.15  | 1.10  | 1.04  | 1.31   | 1.33   | 1.41    | 1.78
27.00 | 26.28 | 26.80 | 28.86  | 35.22  | 33.79   | 31.35
9.00  | 3.94  | 3.24  | 1.55   | 0.0    | 0.0     | 0.0
