-     | -     | -     |
-     | -     | -     |
A1    | IIC1  | IIIC2 |   IVC3
5-10  | 20-30 | 70-85 |   125-135
6.96  | 1.28  | 0.48  |   -
4.04  | 0.74  | 0.28  |   -
0.228 | 0.068 | -     |   -
18    | 11    | -     |   -
31.4  | 35.5  | 61.3  |   12.5
27.3  | 17.5  | 27.5  |   0.2
36.4  | 24.4  | 31.2  |   3.3
4.9   | 2.7   | 0.5   |   0.3
3.7   | 4.9   | 0.8   |   0.7
14.7  | 18.1  | 2.7   |   53.4
7.6   | 13.0  | 1.3   |   29.2
1.3   | 1.3   | 0.4   |   0.6
-     | 0.1   | -     |   -
-     | -     | -     |
0     | 0     | vest   (n) |       vest  (n)
32.2  | 36.4  | 58.2  |   15.4
1553  | 373   | 202   |   590
5.3   | 6.1   | 7.3   |   7.5
6.4   | 7.6   | 8.0   |   8.6
4.5   | 5.9   | 6.5   |   6.8
-     | 0.09  | 17.33 |   8.29
4.2   | 4.4   | -     |   -
2.3   | 8.1   | -     |   -
0.8   | 0.3   | -     |   -
13.0  | 3.7   | -     |   -
10    | 34    | -     |   -
16.8  | 21.1  | -     |   -
23.5  | 23.6  | -     |   -
72    | 89    | -     |   -
