-     | -     | -     | -     | -      |
5230  | 5231  | 5232  | 5233  | 5234   | 5235
A1    | B21t  | B22t  | B23t  | B3ca   | C
05-20 | 27-40 | 47-57 | 68-84 | 95-105 | 125-140
4.09  | 2.24  | 1.15  | 0.61  | 0.38   | 0.15
0.17  | 0.10  | 0.07  | 0.04  | 0.03   | 0.02
14    | 13    | 10    | 8     | 8      | 5
-     | -     | -     | -     | -      |
-     | -     | -     | 0.4   | 0.8    | 1.1
5.5   | 6.9   | 7.3   | 7.7   | 7.9    | 8.2
N.D.  | N.D.  | N.D.  | N.D.  | N.D.   | N.D.
35.70 | 40.80 | 37.60 | 36.80 | N.D.   | 33.90
17.90 | 32.80 | 30.30 | 30.20 | -      | 30.40
-     | -     | -     | -     | -      |
2.40  | 3.80  | 3.90  | 3.50  | -      | 2.40
-     | -     | -     | -     | -      |
0.78  | 0.75  | 0.41  | 0.50  | 0.37   | 0.40
-     | -     | -     | -     | -      |
1.20  | 1.03  | 0.40  | 0.48  | 0.38   | 0.56
-     | -     | -     | -     | -      |
2.20  | 0.40  | 0.90  | 0.90  | -      | -
6.16  | 0.98  | 2.39  | 2.45  | -      | -
-     | -     | -     | -     | -      |
28.24 | 47.52 | 44.84 | 42.24 | 43.12  | 34.69
-     | -     | -     | -     | -      | -
