ii    | iii
30549 | 30550
-     | -
-     | -
-     | -
-     | -
-     | -
2.5)
4.0   | 6.5
0.8   | 1.3
1.9   | 2.1
36.8  | 62.4
0.2   | 0.3
4.2   | 3.8
0.8   | 1.4
36.8  | 62.4
-     | -
-     | -
-     | -
