-     | -     | -     | -     | -       | -       |
1685  | 1686  | 1687  | 1688  | 1689    | 1690    | 1691
Ap    | B1    | B21t  | B22t  | B23tca  | B3ca    | Cca
05-15 | 20-32 | 40-65 | 80-95 | 105-120 | 130-145 | 150-160
3.53  | 4.23  | 2.82  | 1.21  | 0.63    | 0.49    | 0.07
0.09  | 0.10  | 0.07  | 0.04  | 0.03    | 0.02    | 0.01
22    | 24    | 23    | 15    | 11      | 10      | 2
31.12 | 31.85 | 39.10 | 39.66 | 46.02   | 46.42   | 47.38
36.74 | 36.60 | 34.11 | 31.17 | 22.42   | 21.88   | 23.40
67.04 | 66.19 | 58.99 | 58.79 | 58.85   | 52.62   | 51.99
0.67  | 0.74  | 0.50  | 0.42  | 0.24    | 0.29    | 0.22
1.16  | 1.21  | 1.40  | 1.12  | 0.88    | 0.65    | 0.39
0.01  | 0.01  | 0.01  | 0.01  | 0.01    | 0.02    | 0.02
-     | -     | -     | -     | -       | -       |
-     | -     | -     | -     | -       | -       |
0.0   | 0.0   | 0.0   | 0.0   | 3.64    | 7.27    | 5.33
7.5   | 7.4   | 7.4   | 7.4   | 8.2     | 8.3     | 8.3
6.9   | 6.5   | 6.3   | 5.9   | 6.9     | 6.9     | 6.9
1.111 | 0.693 | 0.741 | 0.640 | 0.624   | 0.663   | 0.717
28.32 | 29.50 | 39.23 | 39.17 | 45.15   | 44.71   | 44.28
23.47 | 24.32 | 32.46 | 31.21 | 37.60   | -       | -
-     | -     | -     | -     | -       | -       |
2.12  | 2.24  | 2.80  | 3.20  | 3.45    | -       | -
-     | -     | -     | -     | -       | -       |
1.74  | 1.53  | 0.92  | 1.21  | 0.97    | 1.32    | 1.12
-     | -     | -     | -     | -       | -       |
0.37  | 0.50  | 0.75  | 1.39  | 1.50    | 1.75    | 1.77
-     | -     | -     | -     | -       | -       |
-     | -     | -     | -     | -       | -       | -
-     | -     | -     | -     | -       | -       |
1.31  | 1.69  | 1.91  | 3.55  | 3.32    | 3.91    | 3.99
-     | -     | -     | -     | -       | -       |
34.00 | 34.05 | 43.00 | 43.66 | 45.00   | 44.50   | 45.00
10.54 | 4.35  | 3.03  | 2.39  | 2.35    | 2.34    | 2.34
