-  | -     | -     | -     |
-  | -     | -     | -     |
O1 | A1    | IIC1  | IIIC2 | IVC3
-  | 5-15  | 25-35 | 50-80 | 100-130
-  | 7.00  | 0.12  | -     | -
-  | 4.06  | 0.07  | -     | -
-  | 0.420 | -     | -     | -
-  | 10    | -     | -     | -
-  | 30.4  | 20.1  | 13.6  | 13.1
-  | 19.6  | 23.7  | 16.3  | 14.5
-  | 55.3  | 66.0  | 49.9  | 48.9
-  | 7.9   | 7.6   | 19.2  | 19.8
-  | 5.9   | 4.9   | 10.6  | 12.9
-  | 0.4   | 1.3   | 6.6   | 5.2
-  | 0.1   | 0.1   | 0.1   | 0.1
-  | -     | -     | -     | -
-  | -     | -     | -     | -
-  | -     | -     | -     |
-  | 0     | 0     | 0     | 0
-  | 36.9  | 19.0  | 11.6  | 11.0
-  | 4142  | 4301  | 4142  | 3345
-  | 4.9   | 5.5   | 6.5   | 6.5
-  | 5.5   | 6.0   | 6.8   | 7.0
-  | 4.2   | 4.6   | 5.4   | 5.3
-  | -     | -     | -     | -
-  | 3.7   | 3.7   | -     | 2.4
-  | 1.7   | 0.7   | -     | 1.2
-  | 0.5   | 0.1   | -     | 0.1
-  | 15.9  | 4.1   | -     | 1.6
-  | 7     | 7     | -     | 14
-  | 15.4  | 9.6   | 9.0   | 8.0
-  | 25.4  | 9.8   | 9.5   | 8.5
-  | 61    | 98    | 95    | 94
