21366 | 21367 | 21368 | 21369
A11   | II    | III   | IV
5-15  | 20-28 | 38-50 | 140-155
29.19 | 2.03  | 0.38  | -
16.97 | 1.18  | 0.22  | -
1.24  | 0.119 | -     | -
14    | 10    | -     | -
-     | 33.7  | 19.4  | 9.6
-     | 34.7  | 13.3  | 9.0
-     | 52.7  | 40.4  | 35.6
-     | 10.4  | 28.2  | 36.5
-     | 2.9   | 11.2  | 17.6
-     | 0.2   | 0.5   | 0.3
-     | 0.1   | 0.3   | 0.4
-     | -     | -     | -
-     | -     | -     | -
18.4  | 31.7  | 17.8  | 9.9
1593  | 2679  | 4489  | 1448
4.4   | 4.5   | 5.0   | 5.8
4.5   | 4.6   | 5.2   | 5.9
3.9   | 3.7   | 4.1   | 5.0
-     | -     | -     | -
3.0   | 2.4   | 1.2   | 1.3
1.3   | 0.8   | 0.3   | 0.4
1.3   | 0.4   | 0.2   | 0.2
1.8   | 3.6   | 5.0   | 6.0
14.3  | 48    | 32    | 27
22.3  | 13.1  | 5.5   | 5.8
53.7  | 12.8  | 3.0   | 2.0
71.4  | 22.5  | 6.0   | 6.6
31    | 53    | 92    | 88
29    | 51    | 65    | 74
-     | -     | -     | -
1.11  | 1.03  | 1.01  | 1.01
