30559 | 30560 | 30561 | 30562 | 30563
I     | II    | III   | IV    | V
1-16  | 20-27 | 31-39 | 41-51 | 55-80
2.68  | 1.82  | 1.77  | 1.79  | 1.27
1.56  | 1.06  | 1.03  | 1.04  | 0.74
0.130 | 0.117 | 0.139 | 0.091 | 0.066
12    | 9     | 7     | 11    | 11
26.5  | 35.6  | 40.5  | 44.0  | 36.0
25.9  | 41.8  | 48.3  | 43.5  | 47.1
50.2  | 54.8  | 56.3  | 51.5  | 62.0
14.6  | 6.0   | 0.9   | 0.9   | 1.2
6.8   | 2.5   | 0.5   | 0.5   | 0.3
1.9   | 1.1   | 1.1   | 1.2   | 0.5
-     | -     | 0.1   | 0.9   | -
-     | -     | 0.6   | 1.0   | -
-     | -     | -     | -     | -
-     | -     | -     | -     |
-     | -     | -     | -     | -
-     | -     | -     | -     | -
27.0  | 31.5  | 36.6  | 38.7  | 31.8
3085  | 2991  | 2711  | 2617  | 2804
4.5   | 4.6   | 4.7   | 4.7   | 4.7
5.1   | 5.2   | 5.4   | 5.4   | 5.4
2,5)
-     | -     | -     | -     | -
3.8   | 5.5   | 6.7   | 6.8   | 5.9
0.7   | 1.0   | 1.2   | 1.4   | 1.3
0.3   | 0.3   | 0.5   | 0.5   | 0.4
3.9   | 4.0   | 4.2   | 4.4   | 5.6
55    | 60    | 66    | 66    | 61
12.4  | 17.7  | 20.3  | 21.9  | 17.9
11.3  | 11.2  | 12.1  | 12.8  | 9.3
17.6  | 25.0  | 28.2  | 31.7  | 22.9
70    | 71    | 72    | 69    | 78
52    | 61    | 63    | 63    | 66
9.5   | 3.5   | 1.6   | 1.5   | 1.3
1.05  | 1.06  | 1.04  | 1.05  | 1.03
