30571 | 30572 | 30573 | 30574
I     | II    | III   | IV
2-15  | 19-39 | 42-80 | 83-110
3.66  | 0.31  | 0.12  | 0.43
2.13  | 0.18  | 0.07  | 0.25
0.217 | -     | -     | -
9.8   | -     | -     | -
37.1  | 20.5  | 12.8  | 18.6
32.5  | 19.7  | 9.5   | 21.9
54.1  | 51.6  | 46.7  | 41.0
6.5   | 16.3  | 26.2  | 26.0
1.6   | 6.6   | 12.4  | 11.9
0.7   | 5.0   | 1.3   | 2.5
-     | -     | -     | -
-     | -     | -     |
-     | -     | -     | -
-     | -     | 6.0   | -
32.7  | 23.4  | 13.3  | 9.9
467   | 308   | 308   | 355
6.2   | 6.8   | 7.2   | 7.0
6.7   | 7.3   | 7.8   | 7.5
2,5)
4.4   | 6.2   | 7.5   | 6.4
7.9   | 5.9   | -     | 5.5
6.5   | 3.6   | 1.8   | 3.2
0.3   | 0.2   | 0.2   | 0.2
25    | 21    | 15    | 21
61    | 47    | 42    | 34
27.5  | 18.1  | -     | 16.4
4.8   | 2.4   | -     | 2.2
26.0  | 17.2  | 12.1  | 15.3
100   | 100   | -     | 100
85    | 88    | -     | 88
5.5   | 0.9   | 4.4   | 9.4
1.05  | 1.02  | 1.01  | 1.01
