-     | -     | -     | -     |
749   | 750   | 751   | 752   | 753
A1    | B21   | B22   | B31ca | B32ca
0-15  | 17-30 | 35-55 | 70-85 | 120-140
4.48  | 3.44  | 2.97  | 1.05  | 0.10
2.59  | 1.99  | 1.72  | 0.61  | 0.06
0.227 | 0.156 | 0.130 | 0.051 | -
11    | 13    | 13    | 11    | -
31.5  | 28.0  | 33.8  | 44.0  | 41.0
26.5  | 30.0  | 25.5  | 23.8  | 27.5
59.8  | 63.1  | 57.2  | 52.7  | 57.9
1.3   | 1.6   | 1.4   | 0.4   | 0.3
4.6   | 4.6   | 4.7   | 1.7   | 0.5
2.8   | 2.7   | 2.9   | 1.2   | 0.3
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.2   | 0.0   | 0.0   | 10.5  | 10.5
7.3   | 6.9   | 7.1   | 8.2   | 8.3
6.3   | 5.9   | 6.0   | 6.5   | 6.7
-     | -     | -     | -     | -
41.4  | 38.0  | 38.5  | 42.0  | 42.9
1.9   | 5.3   | 6.8   | 10.6  | 9.6
39.0  | 37.2  | 41.0  | 54.7  | 56.8
