-     | -     | -     | -     |
5236  | 5237  | 5238  | 5239  | 5240
Ap    | B21t  | B22t  | B3ca  | Cca
04-16 | 20-35 | 44-55 | 69-84 | 125-140
2.72  | 1.89  | 1.52  | 0.52  | 0.15
1.58  | 1.10  | 0.89  | 2.26  | 0.07
13    | 11    | 12    | 11    | -
34.83 | 47.87 | 45.97 | 43.75 | 30.91
24.07 | 20.82 | 21.26 | 22.71 | 33.33
58.81 | 48.91 | 50.29 | 52.06 | 64.48
6.05  | 3.08  | 3.47  | 3.97  | 4.10
0.28  | 0.14  | 0.16  | 0.21  | 0.50
0.03  | -     | -     | -     | -
-     | -     | -     | -     |
-     | -     | -     | -     |
-     | -     | -     | 1.0   | 1.6
6.9   | 7.1   | 7.4   | 8.1   | 8.5
5.4   | 5.4   | 5.8   | 7.0   | 7.1
31.80 | 41.60 | 40.30 | -     | -
25.70 | 33.80 | 32.60 | -     | -
-     | -     | -     | -     |
2.30  | 3.50  | 3.80  | -     | -
-     | -     | -     | -     |
0.70  | 0.70  | 0.95  | 0.90  | 1.10
-     | -     | -     | -     |
0.82  | 0.82  | 0.75  | 0.82  | 0.70
-     | -     | -     | -     |
1.50  | 1.20  | 0.90  | -     | -
-     | -     | -     | -     |
31.43 | 44.52 | 42.57 | 36.61 | 34.06
