-     | -     |  -     |     -     |     -      |
10308 | 10309 |  10310 |     10311 |     10312  |     10313
A11   | A12   |  B21t  |     B22t  |     B3     |     Cca
05-11 | 15-22 |  28-40 |     50-70 |     80-110 |     125-130
4.65  | 3.65  |  2.06  |     1.57  |     0.61   |     0.15
2.70  | 2.12  |  1.20  |     0.92  |     0.35   |     0.09
0.206 | 0.159 |  0.106 |     0.078 |     0.044  |     0.033
13.11 | 13.33 |  11.32 |     11.79 |     7.95   |     2.73
20.87 | 22.62 |  35.01 |     44.75 |     43.24  |     40.26
31.41 | 32.27 |  22.73 |     21.01 |     21.92  |     2577
54.09 | 55.17 |  44.50 |     41.20 |     42.10  |     44.34
0.90  | 0.53  |  0.59  |     0.55  |     0.27   |     0.26
20.51 | 18.73 |  16.49 |     11.51 |     11.48  |     12.69
-     | -     |  -     |     -     |     -      |     -
3.14  | 2.59  |  2.56  |     1.50  |     2.14   |     2.18
0.49  | 0.36  |  0.85  |     0.49  |     0.77   |     0.27
0.0   | 0.0   |  0.0   |     0.0   |     0.0    |     2.85
6.3   | 6.4   |  6.6   |     7.0   |     8.0    |     8.5
5.2   | 5.1   |  4.9   |     5.3   |     6.2    |     7.0
88.00 | 80.60 |  55.40 |     67.90 |     95.20  |     163.60
23.43 | 19.77 |  28     47    |     32.33 |      30.37 |       27.87
-     | -     |  -     |     -     |     -      |
22.87 | 23     69 |     32.37 |     42.25 |      43.46 |       40.40
10.60 | 6.60  |  4.40  |     4.10  |     4.20   |     4.20
