- | -    | 3252  | 4327  | 4012  | 3983  | 3300
- | -    | -     | -     | -     | -     |
d | Ca++ | 25.09 | 35.62 | 33.10 | 31.99 | 25.33
e | -    | -     | -     | -     | -     |
- | Mg++ | 2.14  | 3.58  | 3.88  | 4.69  | 4.32
c | -    | -     | -     | -     | -     |
a | K+   | 0.75  | 1.00  | 1.47  | 1.55  | 1.95
m | -    | -     | -     | -     | -     |
b | Na+  | 1.57  | 1.16  | 1.00  | 1.04  | 0.92
i | -    | -     | -     | -     | -     |
o | H+   | -     | -     | -     | -     | -
- | -    | 4.83  | 2.68  | 2.49  | 2.61  | 2.79
