-     | -     | -     | -     | -      |
A1p   | A12   | B21   | B22   | Bcca   | Cca
0-10  | 10-25 | 25-55 | 55-75 | 75-100 | 100-125
4.47  | 2.97  | 3.18  | 2.32  | 0.94   | 0.49
2.60  | 1.73  | 1.86  | 1.35  | 0.55   | 0.29
0.228 | 0.118 | 0.114 | 0.070 | 0.033  | 0.025
11    | 15    | 16    | 19    | 15     | 12
35.1  | 44.7  | 45.1  | 53.6  | 59.4   | 55.3
39.7  | 28.6  | 35.4  | 28.6  | 21.8   | 31.7
54.2  | 43.2  | 47.2  | 40.9  | 37.7   | 41.8
0.7   | 0.8   | 0.6   | 0.4   | 0.2    | 0.2
5.6   | 6.2   | 3.8   | 2.9   | 1.5    | 1.4
4.4   | 4.9   | 3.3   | 2.0   | 1.1    | 1.2
0     | 0.2   | 0     | 0.2   | 0.1    | 0.1
1.8   | 0     | 0.5   | 8.1   | 7.8    | 1.8
7.6   | 7.3   | 8.4   | 8.5   | 8.6    | 8.5
6.9   | 6.4   | 6.8   | 7.2   | 7.2    | 7.0
915   | 1406  | 1075  | 1158  | 1033   | 992
0.9   | -     | -     | -     | -      | 0.3
54.6  | 47.0  | 61.0  | 55.8  | 56.1   | 53.8
0.01  | 0.02  | 0.05  | 0.08  | 0.12   | 0.13
43.3  | 39.8  | 57.9  | 61.6  | 66.1   | 65.5
1.09  | 1.08  | 1.11  | 1.10  | 1.10   | 1.10
6.5   | 5.0   | -     | -     | -      | -
