-     | -     | -     | -      | -      |
288   | 289   | 290   | 291    | 292    | 293
A21   | A22   | B21t  | B22tca | B31ca  | IIB32g
00-12 | 12-25 | 25-48 | 50-65  | 80-100 | 120-135
3.5   | 1.8   | 0.9   | 0.5    | 0.3    | 0.2
0.20  | 0.12  | 0.06  | 0.05   | 0.03   | ND
10    | 9     | 9     | 6      | 5      | ND
23.9  | 25.1  | 45.4  | 46.7   | 38.4   | 28.9
31.6  | 26.1  | 22.2  | 22.3   | 28.8   | 31.8
70.4  | 67.6  | 49.4  | 48.8   | 56.6   | 64.1
4.1   | 5.2   | 3.8   | 3.8    | 3.7    | 5.4
1.1   | 1.2   | 0.9   | 0.6    | 0.9    | 1.2
0.5   | 0.7   | 0.4   | 0.1    | 0.4    | 0.4
0.0   | 0.2   | 0.1   | 0.0    | 0.0    | 0.0
-     | -     | -     | -      | -      |
0.0   | 0.0   | 0.2   | 3.1    | 0.3    | 0.0
4.9   | 5.8   | 7.2   | 8.1    | 7.5    | 6.3
4.6   | 5.3   | 5.3   | 7.0    | 6.4    | 5.2
-     | -     | -     | -      | -      | -
16.0  | 17.1  | 28.5  | 31.9   | 27.5   | 21.9
6.8   | 8.8   | ND    | ND     | ND     | 11.7
-     | -     | -     | -      | -      |
2.5   | 2.9   | ND    | ND     | ND     | 4.6
-     | -     | -     | -      | -      |
0.4   | 0.4   | 1.0   | 1.5    | 1.9    | 1.9
-     | -     | -     | -      | -      |
0.6   | 0.9   | 2.1   | 4.0    | 2.6    | 1.3
-     | -     | -     | -      | -      |
7.1   | 4.0   | -     | -      | -      | 3.0
-     | -     | -     | -      | -      |
3.7   | 5.3   | 7.4   | 12.5   | 9.4    | 5.9
-     | -     | -     | -      | -      |
29.0  | 25.7  | 44.3  | 50.1   | 37.2   | 31.2
-     | -     | -     | -      | -      | -
