-     | -     | -     |
7216  | 7217  | 7218  | 7219
A11   | A12   | B21   | B22
02-10 | 14-20 | 27-40 | 52-64
6.64  | 1.40  | 0.82  | 0.80
0.34  | 0.08  | 0.08  | 0.07
11    | 9     | 6     | 6
44.75 | 43.55 | 49.55 | 49.55
35.94 | 36.97 | 31.91 | 31.00
53.27 | 56.29 | 50.04 | 49.05
0.11  | 0.03  | 0.03  | 0.03
1.62  | 0.13  | 0.36  | 0.39
0.06  | -     | 0.02  | 0.55
0.19  | -     | -     | -
-     | -     | -     |
0.00  | 0.00  | 0.00  | 0.00
6.6   | 7.9   | 8.2   | 8.2
5.7   | 6.8   | 7.3   | 7.2
2.05  | 2.43  | 2.58  | 2.34
45.80 | 42.99 | 47.00 | 45.70
35.60 | 36.90 | 34.60 | 33.60
-     | -     | -     |
6.9   | 5.9   | 7.5   | 7.6
-     | -     | -     |
1.70  | 1.69  | 2.30  | 1.93
-     | -     | -     |
1.50  | 1.45  | 2.50  | 2.50
-     | -     | -     |
-     | -     | -     | -
-     | -     | -     |
3.3   | 3.4   | 5.3   | 5.4
-     | -     | -     |
46.09 | 46.02 | 48.00 | 48.59
-     | -     | -     | -
