8252  | 8253  | 8254  | 8255  | 8256  | 8257
Ap    | A12   | A3    | B2t   | B3    | C
04‑12 | 16‑24 | 33‑40 | 50‑60 | 70‑80 | 100‑110
5.20  | 3.31  | 2.51  | 1.00  | 0.61  | 0.56
3.02  | 1.92  | 1.45  | 0.58  | 0.36  | 0.33
0.232 | 0.165 | 0.104 | 0.067 | 0.059 | 0.004
13    | 12    | 14    | 9     | 6     | 7
-     | -     | -     | -     | -     |
18.0  | 18.0  | 17.0  | 30.0  | 25.0  | 19.0
74.7  | 75.0  | 76.0  | 65.7  | 70.0  | 75.2
7.3   | 7.1   | 6.9   | 4.3   | 5.0   | 5.8
N.D.  | N.D.  | N.D.  | N.D.  | N.D.  | N.D.
6.07  | 5.73  | 5.83  | 6.25  | 6.58  | 7.31
5.69  | 5.18  | 4.90  | 5.19  | 5.47  | 6.63
25.32 | 26.44 | 35.04 | 34.42 | 28.42 | 24.92
22.52 | 21.29 | 29.81 | 31.93 | 26.06 | 22.80
N.D.  | N.D.  | N.D.  | N.D.  | N.D.  | N.D.
83.55 | 79.24 | 30.86 | 7.25  | 8.99  | N.D.
