10469 | 10470 | 10471 | 10472 | 10473  | 10474
A1    | B21t  | B22t  | B31ca | B32ca  | Cg
02‑14 | 30-42 | 50-60 | 63-73 | 80-95  | 110-120
3.41  | 1.21  | 0.78  | 0.71  | 0.35   | 0.07
0.19  | 0.07  | 0.06  | 0.07  | 0.04   | 0.00
10    | 10    | 8     | 6     | 6      | 13
21.17 | 35.0  | 33.10 | 32.28 | 32.00  | 38.88
20.32 | 16.01 | 16.00 | 17.14 | 16.21  | 20.14
38.21 | 30.59 | 30.16 | 31.32 | 30.22  | 36.36
0.61  | 0.08  | 0.25  | 0.37  | 0.31   | 0.37
38.68 | 32.30 | 30.54 | 34.42 | 35.80  | 23.12
-     | -     | -     | -     | -      | -
1.32  | 2.02  | 5.94  | 1.59  | 1.64   | 1.22
-     | 0.5   | 0.9   | 5.5   | 3.3    | 0.6
5.1   | 5.9   | 7.6   | 8.0   | 8.0    | 7.7
4.6   | 5.0   | 6.6   | 6.9   | 6.9    | 6.5
0.469 | 0.315 | 0.654 | 0.611 | 0.577  | 0.527
24.66 | 36.44 | 34.52 | 31.22 | 31.66D | 38.12
1.86  | 1.53  | 3.33  | 4.80  | 5.53   | 3.94
21.59 | 34.72 | 33.62 | 30.29 | 30.73  | 38.30
2.36  | 1.12  | 1.10  | -     | -      | -
