- | -    | 301  | 235  | 431  | 451  | 449  | 450 | 443
- | -    | -    | -    | -    | -    | -    | -   |
d | Ca++ | 18.8 | 17.8 | 35.1 | 36.6 | 57.7 | -   | -
e | -    | -    | -    | -    | -    | -    | -   |
- | Mg++ | 3.2  | 2.4  | 3.9  | 7.9  | 9.4  | -   | -
c | -    | -    | -    | -    | -    | -    | -   |
a | K+   | 0.8  | 1.4  | 2.3  | 2.3  | 2.6  | 2.3 | 2.4
m | -    | -    | -    | -    | -    | -    | -   |
b | Na+  | 0.9  | 0.8  | 0.7  | 0.6  | 0.7  | 0.8 | 0.9
i | -    | -    | -    | -    | -    | -    | -   |
o | H+   | 6.4  | 1.1  | 1.1  | -    | -    | -   | -
- | -    | 3.0  | 3.4  | 1.6  | 1.3  | 1.6  | 1.8 | 2.0
