-     | -     | -      |
-     | -     | -      |
A1    | C1    | IIC2   | IIIC3
5-10  | 20-50 | 90-110 | 125-140
0.57  | 0.33  | 0.14   | -
0.33  | 0.19  | 0.08   | -
0.060 | -     | -      | -
6     | -     | -      | -
9.7   | 8.0   | 6.6    | 19.2
5.0   | 3.7   | 0.5    | 32.3
6.5   | 5.0   | 3.0    | 56.3
0.1   | 0.1   | 0.1    | 0.9
0.1   | 0.1   | 0.1    | 0.6
42.7  | 48.3  | 40.2   | 16.0
40.4  | 35.2  | 49.0   | 7.0
0.5   | 3.3   | 1.0    | -
-     | -     | -      | -
-     | -     | -      |
0     | 0     | 0      | 0
5.0   | 3.9   | 2.8    | 22.7
7095  | 29684 | 50680  | 10426
4.5   | 4.4   | 5.6    | 5.6
5.5   | 5.5   | 5.8    | 6.0
3.9   | 3.9   | 4.3    | 4.2
-     | -     | -      | -
1.30  | 0.70  | 0.50   | 4.2
0.10  | 0.05  | 0.05   | 0.2
0.15  | 0.05  | 0.05   | 0.2
2.60  | 2.20  | 1.00   | 4.4
3     | 2     | 4      | 2
3.40  | 1.30  | 0.90   | 9.2
3.60  | 2.40  | 1.20   | 10.5
94    | 54    | 75     | 88
