iii   | iv    | v      | vi
21354 | 21355 | 21356  | 21357
48-60 | 70-75 | 85-110 | 130-140
-     | -     | -      | -
-     | -     | -      | -
-     | -     | -      | -
-     | -     | -      | -
2.5)
12.58 | 12.38 | 17.04  | 15.39
5.4   | 7.0   | 9.5    | 5.8
9.6   | 10.2  | 10.6   | 11.4
118.4 | 134.4 | 160.0  | 132.0
-     | -     | -      | -
-     | -     | -      | -
3.5   | 7.5   | 6.5    | 9.0
92.0  | 116.0 | 130.0  | 114.0
S     | -     | S      | S
-     | -     | -      | -
-     | -     | -      | -
