-     | -     | -     | -     | -      |
7741  | 7742  | 7743  | 7744  | 7745   | 7746
A21   | A22   | B21t  | B22t  | B3     | C
03-12 | 17-23 | 27-45 | 54-64 | 83-110 | 27-137
1.61  | 0.53  | 0.45  | 0.31  | 0.15   | 0.15
0.09  | 0.05  | 0.04  | 0.02  | 0.03   | 0.02
10    | 5     | 6     | 8     | 3      | 4
20.09 | 21.04 | 41.83 | 46.77 | 41.34  | 31.95
42.85 | 41.90 | 27.67 | 20.94 | 46.46  | 36.59
71.33 | 72.69 | 52.61 | 47.05 | 51.40  | 61.47
5.61  | 1.23  | 2.05  | 1.63  | 2.13   | 2.51
2.93  | 4.99  | 3.46  | 4.52  | 5.09   | 4.03
0.04  | 0.05  | 0.05  | 0.03  | 0.04   | 0.04
-     | -     | -     | -     | -      |
-     | -     | -     | -     | -      |
0.00  | 0.83  | 1.26  | 1.62  | 0.79   | 0.52
8.8   | 9.8   | 9.9   | 9.9   | 9.7    | 9.5
7.5   | 8.3   | 8.5   | 8.5   | 8.6    | 8.4
5.02  | 9.21  | 9.33  | 7.76  | 5.76   | 3.94
20.30 | 22.90 | 39.30 | 44.70 | 39.40  | 29.30
7.60  | 7.70  | 15.30 | 17.00 | 15.10  | 10.30
-     | -     | -     | -     | -      |
0.80  | 0.90  | 2.10  | 2.30  | 2.00   | 1.80
-     | -     | -     | -     | -      |
0.60  | 0.75  | 1.30  | 1.70  | 1.40   | 1.10
-     | -     | -     | -     | -      |
11.25 | 13.50 | 20.50 | 23.50 | 20.50  | 16.00
-     | -     | -     | -     | -      |
-     | -     | -     | -     | -      | -
-     | -     | -     | -     | -      |
55.4  | 58.9  | 52.2  | 52.6  | 52.0   | 54.6
-     | -     | -     | -     | -      |
23.96 | 25.00 | 44.07 | 49.09 | 43.70  | 35.00
-     | -     | -     | -     | -      | -
