- | -    | 1649 | 1771 | 2622  | 2441  | 2753  | 2231
- | -    | -    | -    | -     | -     | -     |
d | Ca++ | 8.25 | 9.45 | 18.00 | 18.31 | 16.30 | 18.71
e | -    | -    | -    | -     | -     | -     |
- | Mg++ | 1.18 | 1.57 | 1.57  | 1.62  | 2.04  | 3.18
c | -    | -    | -    | -     | -     | -     |
a | K+   | 0.39 | 0.21 | 0.33  | 0.27  | 0.31  | 0.44
m | -    | -    | -    | -     | -     | -     |
b | Na+  | 0.74 | 0.74 | 1.12  | 2.34  | 2.35  | 2.40
i | -    | -    | -    | -     | -     | -     |
o | H+   | 8.42 | 7.58 | 2.95  | 1.26  | 1.26  | 1.05
- | -    | 4.50 | 4.20 | 4.30  | 9.60  | 8.50  | 10.80
