-     | -     | -     | -     | -     |
6302  | 6303  | 6304  | 6305  | 6306  | 6307
A1    | B21t  | B22t  | B23t  | B3ca  | Cca
05-18 | 21-30 | 35-40 | 52-76 | 85-93 | 95-110
8.05  | 3.04  | 1.07  | 0.98  | 0.67  | 045
0.355 | 0.150 | 0.084 | 0.054 | 0.037 | 0.024
12    | 10    | 7     | 8     | 10    | 10
37.95 | 50.51 | 50.81 | 47.89 | 39.85 | 39.63
21.34 | 21.75 | 24.58 | 22.40 | 20.84 | 21.63
67.96 | 46.78 | 46.27 | 48.55 | 56.12 | 57.71
1.96  | 1.31  | 1.46  | 1.85  | 1.36  | 2.09
2.02  | 1.38  | 1.42  | 0.50  | 2.65  | 0.56
0.13  | 0.02  | 0.04  | 0.21  | 0.02  | 0.01
-     | -     | -     | -     | -     | -
0.50  | -     | -     | -     | 12.30 | 13.90
6.5   | 6.7   | 6.8   | 7.1   | 8.0   | 8.1
5.6   | 5,6   | 5.9   | 6.1   | 7.1   | 7.1
0.524 | 0.435 | 0.385 | 0.385 | 0.570 | 0.754
41.94 | 49.01 | 48.80 | 46.60 | 41.60 | 41.80
1.55  | 4.07  | 3.65  | 4.29  | 5.17  | 6.75
34.11 | 45.58 | 45.74 | 43.55 | 36.07 | 36.06
29.84 | 3.64  | -     | -     | -     |
