- | -    | 366  | 335  | 416  | 457  | 411  | nd
- | -    | -    | -    | -    | -    | -    |
d | Ca++ | 21.2 | 21.6 | 28.7 | 31.1 | N.D. | N.D.
e | -    | -    | -    | -    | -    | -    |
- | Mg++ | 1.2  | 3.2  | 4.4  | 6.0  | N.D. | N.D.
c | -    | -    | -    | -    | -    | -    |
a | K+   | 0.8  | 0.7  | 1.0  | 0.9  | 0.9  | 0.9
m | -    | -    | -    | -    | -    | -    |
b | Na+  | 0.7  | N.D. | 0.9  | 1.3  | 1.7  | 1.9
i | -    | -    | -    | -    | -    | -    |
o | H+   | -    | -    | -    | -    | -    | -
- | -    | 1.9  | -    | 2.2  | 2.8  | 4.1  | -
