-     | -     |   -     |
-     | -     |   -     |
A1    | IIC1  |   IIIC2 |   IVC3
3-7   | 14-24 |   30-70 |   95-120
7.40  | 2.19  |   0.47  |   -
4.29  | 1.27  |   0.27  |   -
0.416 | 0.143 |   -     |   -
10    | 9     |   -     |   -
28.8  | 28.3  |   28.6  |   26.0
41.8  | 47.3  |   45.7  |   50.2
66.0  | 66.0  |   69.0  |   70.4
0.5   | 1.4   |   0.8   |   1.9
1.7   | 2.9   |   0.9   |   0.6
2.5   | 1.1   |   0.2   |   0.9
0.5   | 0.3   |   0.2   |   0.2
-     | -     |   -     |   -
-     | -     |   -     |   -
-     | -     |   -     |
0     | vest   (n) |     0.3 |      vest  (n)
30.4  | 30.1  |   30.2  |   33.1
3155  | 701   |   189   |   196
5.3   | 6.2   |   7.4   |   7.3
6.2   | 7.1   |   7.5   |   7.5
4.5   | 5.5   |   7.0   |   6.7
-     | 2.99  |   17.73 |   15.97
7.3   | -     |   -     |   -
0.7   | 3.3   |   -     |   -
0.4   | 0.2   |   -     |   -
15.2  | -     |   -     |   -
3     | 13    |   -     |   -
16.6  | -     |   -     |   -
23.0  | 25.3  |   -     |   -
72    | -     |   -     |   -
