-      | -     | -     | -     | -       |
-      | -     | -     | -     | -       |
Enlame | IIC1  | IIIC2 | IVC3  | IVC4    | VC5
2-4    | 10-30 | 40-55 | 65-90 | 120-130 | 170-180
3.48   | 0.64  | 0.52  | -     | -       | -
2.02   | 0.37  | 0.30  | -     | -       | -
0.190  | 0.061 | 0.046 | -     | -       | -
11     | 6     | 7     | -     | -       | -
22.1   | 67.6  | 40.4  | 49.0  | 41.7    | 36.9
20.4   | 20.6  | 26.5  | 14.3  | 20.7    | 23.1
51.8   | 27.4  | 48.3  | 35.0  | 44.9    | 42.8
8.2    | 1.3   | 3.7   | 7.5   | 4.9     | 8.7
6.5    | 0.7   | 1.7   | 3.4   | 2.8     | 6.4
6.4    | 1.7   | 3.9   | 3.2   | 3.9     | 3.7
4.3    | 1.2   | 1.7   | 1.8   | 1.6     | 1.4
0.7    | -     | 0.3   | 0.1   | 0.2     | 0.1
-      | -     | -     | -     | -       | -
-      | -     | -     | -     | -       |
vest.  | 1.0   | vest. | vest. | vest.   | vest.
24.7   | 70.7  | 50.5  | 56.0  | 48.5    | 41.3
958    | 430   | 430   | 544   | 698     | 828
7.9    | 7.9   | 8.1   | 8.4   | 8.2     | 8.1
8.3    | 8.6   | 8.8   | 9.1   | 9.1     | 9.2
6.7    | 7.3   | 7.2   | 7.3   | 7.0     | 6.8
3.65   | 14.31 | 8.11  | 4.29  | 2.35    | 1.7
-      | -     | -     | -     | -       | -
3.3    | -     | -     | -     | -       | -
4.9    | -     | -     | -     | -       | -
-      | -     | -     | -     | -       | -
32     | -     | -     | -     | -       | -
-      | -     | -     | -     | -       | -
15.5   | -     | -     | -     | -       | -
-      | -     | -     | -     | -       | -
