21235 | 21236  | 21237   | 21238
I     | II     | III     | IV
0-15  | 90-105 | 135-155 | 175-190
17.37 | 0.95   | 1.32    | -
10.1  | 0.55   | 0.77    | -
0.806 | 0.053  | -       | -
13    | 10     | -       | -
57.4  | 19.9   | 14.6    | 10.8
26.9  | 10.3   | 8.3     | 1.5
36.7  | 40.1   | 28.7    | 10.8
2.5   | 14.9   | 23.3    | 42.7
1.7   | 24.1   | 28.5    | 33.6
1.5   | 0.6    | 4.3     | 2.0
0.2   | 0.4    | 0.6     | 0.1
-     | -      | -       | -
-     | -      | -       | -
-     | -      | -       | -
69.8  | 15.7   | 9.2     | 6.4
2156  | 4610   | 3792    | 3569
5.0   | 4.9    | 4.9     | 4.8
5.2   | 5.2    | 5.2     | 5.0
4.3   | 4.2    | 4.2     | 4.2
-     | -      | -       | -
9.1   | 1.7    | 1.1     | 0.7
1.7   | 0.4    | 0.4     | 0.4
0.5   | 0.2    | 0.2     | 0.2
2.6   | 4.2    | 5.5     | 9.0
122   | 34     | 34      | 32
31.4  | 7.7    | 5.2     | 3.2
43.6  | 4.9    | 3.4     | 2.0
65.2  | 9.5    | 7.3     | 4.4
48    | 81     | 71      | 72
42    | 61     | 60      | 61
-     | -      | -       | -
1.24  | 1.01   | 1.01    | 1.01
