-     | -     | -     | -     |
545   | 546   | 547   | 548   | 549
A1    | B21   | B22   | B3ca  | Cca
05-15 | 25-36 | 55-65 | 80-90 | 115-130
4.87  | 2.61  | 2.04  | 1.08  | 0.22
2.82  | 1.51  | 1.18  | 0.63  | 0.13
0.290 | 0.116 | 0.090 | 0.048 | 0.019
10    | 13    | 13    | 13    | 7
37.7  | 49.2  | 49.5  | 43.0  | 48.5
16.3  | 13.1  | 13.6  | 19.5  | 14.6
53.0  | 43.3  | 42.4  | 52.3  | 46.2
1.5   | 1.6   | 1.6   | 1.0   | 0.8
5.5   | 4.3   | 4.4   | 2.7   | 1.9
2.3   | 1.6   | 2.1   | 1.0   | 2.6
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 1.0   | 12.1  | 8.7
5.8   | 6.9   | 7.6   | 7.7   | 7.9
5.3   | 6.0   | 6.7   | 6.6   | 6.6
-     | -     | -     | -     | -
41.0  | 50.4  | 43.6  | 36.3  | 37.4
1.5   | 4.4   | 8.7   | 11.6  | 12.0
40.4  | 50.7  | 52.4  | 52.9  | 55.6
