-      | -       | -       | -       |
-      | -       | -       | -       |
A1     | A/C     | IIB21   | IIB22   | IIIC1
3-9    | 13-23   | 33-43   | 50-60   | 69-80
9.53   | 1.19    | 0.52    | -       | -
5.53   | 0.69    | 0.30    | -       | -
0.576  | 0.077   | 0.060   | -       | -
10     | 9       | 5       | -       | -
30.7   | 23.2    | 42.0    | 30.0    | 18.5
36.6   | 43.0    | 48.5    | 43.2    | 27.8
49.4   | 60.2    | 52.5    | 51.0    | 43.3
1.4    | 1.1     | 1.1     | 1.4     | 1.3
2.5    | 0.6     | 1.1     | 0.7     | 2.1
15.2   | 14.3    | 3.1     | 15.2    | 34.1
0.8    | 0.6     | 0.2     | 1.7     | 0.7
-      | -       | -       | -       | -
-      | -       | -       | -       | -
-      | -       | -       | -       |
0      | 0       | 0       | 0       | 0
40.1   | 26.4    | 36.7    | 26.1    | 18.1
4038   | 5990    | 2019    | 2961    | 3971
5.2    | 5.8     | 6.1     | 6.5     | 6.2
5.6    | 7.0     | 7.3     | 7.5     | 7.6
4.3    | 4.9     | 5.2     | 5.2     | 5.8
-      | -       | -       | -       | -
2.4    | 3.4     | 9.4     | 7.0     | 3.6
0.6    | 0.5     | 1.2     | 0.9     | 1.0
0.5    | 0.3     | 0.4     | 0.4     | 0.2
10.2   | 3.1     | 4.2     | 1.7     | 1.6
2      | 4       | 4       | 4       | 7
16.7   | 14.7    | 30.6    | 23.2    | 15.2
214.2  | 13.3    | 32.0    | 23.1    | 13.7
69     | 100     | 96      | 100     | 100
-      | -       | -       | -       |
IVC2   | VC3     | VIC4    | VII5    | VIII6
96-108 | 112-115 | 118-128 | 134-145 | 150-160
-      | -       | -       | -       | -
-      | -       | -       | -       | -
-      | -       | -       | -       | -
-      | -       | -       | -       | -
0.5    | 3.5     | 1.5     | -       | 1.5
0.7    | 2.3     | 0.5     | -       | 0.5
1.2    | 4.3     | 0.5     | -       | 0.8
0.1    | 0.1     | 0.1     | -       | 0.1
1.2    | 0.2     | 0.3     | -       | 0.5
93.3   | 88.1    | 92.5    | -       | 94.3
3.7    | 3.8     | 5.1     | -       | 2.8
-      | -       | -       | -       | -
-      | -       | -       | -       | -
-      | -       | -       | -       |
0      | 0       | 0       | -       | 0
1.5    | 2.9     | 1.3     | -       | 1.4
24229  | 11979   | 11306   | -       | 15479
6.1    | 7.2     | 7.0     | -       | 7.9
7.3    | 8.0     | 8.7     | -       | 8.4
6.4    | 6.3     | 7.0     | -       | 7.6
-      | -       | -       | -       | -
0.90   | 1.65    | 1.00    | -       | 1.85
0.15   | 0.35    | 0.45    | -       | 0.50
0.05   | 0.05    | 0.05    | -       | 0.05
0.60   | 0.60    | 0.40    | -       | -
8      | 10      | 25      | -       | 21
3.10   | 3.80    | 2.35    | -       | 4.40
1.80   | 3.55    | 1.80    | -       | 2.40
100    | 100     | 100     | -       | 100
