-     | -      |
30536 | 30537  | 30538
A1    | II     | III
2-19  | 30-100 | 115-125
2.32  | 0.24   | 0.07
1.35  | 0.14   | 0.04
0.157 | -      | -
8.6   | -      | -
22.8  | 40.6   | 17.3
20.6  | 15.4   | 8.1
57.6  | 47.0   | 47.8
15.1  | 10.0   | 27.1
3.7   | 1.4    | 6.2
0.8   | 1.0    | 1.6
-     | -      | -
-     | -      | -
-     | -      | -
-     | -      | -
25.4  | 49.2   | 20.9
2445  | 2440   | 2050
4.6   | 5.8    | 5.8
5.4   | 6.4    | 6.4
4.0   | 5.3    | 5.5
-     | 9.4    | 8.5
3.7   | 3.7    | 1.5
1.7   | 7.0    | 1.9
0.5   | 1.0    | 0.7
11    | 32     | 20
47    | 64     | 41
11.8  | 21.6   | 9.4
9.7   | 3.1    | 3.5
15.2  | 22.2   | 9.6
77    | 97     | 98
55    | 87     | 73
1.8   | 2.0    | 3.9
1.03  | 1.05   | 1.02
