-     | -     | -     |
702   | 703   | 704   |   705
A2    | B21    t |     B22  t      | B3ca  (g)
2-15  | 30-45 | 67-80 |   95-108
2.80  | 1.17  | 0.98  |   0.24
1.62  | 0.68  | 0.57  |   0.14
0.170 | 0.065 | 0.058 |   0.029
9     | 10    | 10    |   5
39.9  | 47.3  | 53.1  |   46.6
-     | -     | -     |   -
59.5  | 51.8  | 46.1  |   52.6
0.3   | 0.3   | 0.2   |   0.3
0.2   | 0.3   | 0.3   |   0.3
0.1   | 0.3   | 0.3   |   0.2
0.0   | 0.0   | 0.0   |   0.0
0.0   | 0.0   | 0.0   |   1.8
4.8   | 5.6   | 6.4   |   7.2
-     | -     | -     |   -
33.2  | 37.9  | 41.9  |   36.5
39.3  | 45.4  | 50.1  |   46.6
