-     | -     | -     | -     |
4.866 | 4.867 | 4.868 | 4.869 | 4.870
Ap    | B1    | B21t  | B22t  | B3ca
10-20 | 25-35 | 45-55 | 55-80 | 88-105
5.45  | 4.30  | 2.97  | 1.87  | 0.74
0.254 | 0.185 | 0.110 | 0.072 | 0.039
12.5  | 13.5  | 15.7  | 15.0  | 11.0
30.99 | 37.72 | 43.12 | 48.01 | 43.15
28.91 | 27.31 | 25.72 | 24.91 | 26.79
67.12 | 60.71 | 54.31 | 50.30 | 55.60
0.49  | 0.99  | 0.68  | 0.25  | 0.25
1.37  | 1.55  | 1.88  | 1.41  | 0.97
0.03  | 0.03  | 0.02  | 0.03  | 0.03-
-     | -     | -     | -     |
0.0   | 0.0   | 0.0   | 0.34  | 16.10
7.1   | 6.9   | 7.0   | 7.3   | 8.0
6.3   | 5.9   | 6.0   | 6.4   | 6.9
0.209 | 0.195 | 0.163 | 0.161 | 0.110
32.20 | 39-93 | 45.76 | 48.86 | 44.63
4.19  | 4.13  | 4.81  | 4.76  | 5.98
28.23 | 34.55 | 39.24 | 45.41 | 40.56
15.06 | 11.02 | 9.68  | 8.70  | 3.46
