-     | -     | -     |
A1    | B21   | B22   | C
0-20  | 20-60 | 60-95 | 95-135
5,22  | 2,83  | 1,54  | 0,34
3,04  | 1,65  | 0,98  | 0,20
0,247 | 0,103 | 0,060 |
12    | 16    | 16    |
46,2  | 42,9  | 41,6  | 47,6
24,9  | 30,3  | 33,4  | 36,8
43,1  | 45,9  | 45,2  | 47,8
5,5   | 4,3   | 2,1   | 1,0
4,1   | 3,1   | 1,5   | 1,1
1,1   | 1,5   | 0,6   | 1,0
0     | 0     | 0     | 0
0     | 2,3   | 9,0   | 1,5
7,4   | 8,5   | 8,9   | 8,9
6,1   | 6,9   | 7,1   | 7,0
1006  | 975   | 912   | 787
0,89  | 0,56  | 0,50  | 0,72
46,2  | 53,8  | 48,4  | 54,8
0.02  | 0.02  | 0.05  | 0.05
39,8  | 49,4  | 61,7  | 73,1
1,09  | 1,12  | 1,12  | 1,14
-     | -     | -     | -
