-     | -     | -     | -     | -       |
-     | -     | -     | -     | -       |
A/C   | C1    | C2    | C3    | IIC4    | IIC5
3-10  | 25-35 | 50-60 | 75-88 | 102-118 | 143-160
1.52  | 1.02  | 0.10  | -     | -       | -
0.88  | 0.59  | 0.06  | -     | -       | -
0.077 | 0.057 | -     | -     | -       | -
11    | 10    | -     | -     | -       | -
3.5   | 3.5   | 1.6   | 1.0   | 4.7     | 3.0
1.1   | 3.5   | 1.4   | 2.0   | 7.7     | 2.2
4.1   | 5.2   | 3.2   | 2.5   | 13.5    | 4.0
0.1   | 0.5   | 0.1   | 0.1   | 0.1     | 0.1
0.3   | 0.3   | 0.1   | 0.1   | 0.2     | 0.1
58.6  | 67.9  | 68.6  | 72.0  | 71.6    | 83.0
33.3  | 22.5  | 26.3  | 24.2  | 9.9     | 9.8
0.1   | 0.1   | 0.1   | 0.1   | -       | -
-     | -     | -     | -     | -       | -
-     | -     | -     | -     | -       |
0     | 0     | 0     | 0     | 0       | 0
4.6   | 4.1   | 1.7   | 0.9   | 5.8     | 1.6
5148  | 14801 | 14801 | 50193 | 16731   | 77220
5.2   | 4.3   | 4.6   | 5.1   | 4.3     | 5.7
6.1   | 5.6   | 5.7   | 6.1   | 5.5     | 6.0
5.0   | 3.7   | 3.9   | 4.7   | 3.9     | 4.4
-     | -     | -     | -     | -       | -
1.85  | 1.25  | 1.40  | 0.90  | 1.40    | 1.35
0.20  | 0.30  | 0.25  | 0.25  | 0.35    | 0.60
0.30  | 0.20  | 0.10  | 0.05  | 0.20    | 0.10
3.20  | 3.60  | 2.20  | 0.60  | 3.20    | 0.80
4     | 8     | 10    | 18    | 9       | 18
4.40  | 2.95  | 2.40  | 1.45  | 3.15    | 3.40
5.00  | 3.80  | 2.45  | 1.40  | 3.95    | 3.35
88    | 78    | 98    | 100   | 80      | 100
