-     | -      | -      | -       |
-     | -      | -      | -       |
A1    | IIB21t | IIB22t | IIIB23t | IIIB24
5-14  | 24-44  | 55-75  | 90-110  | 125-140
4.65  | 1.33   | 0.76   | -       | -
2.7   | 0.77   | 0.44   | -       | -
0.268 | 0.082  | 0.052  | -       | -
10    | 9      | 8      | -       | -
37.5  | 54.4   | 64.7   | 57.3    | 56.9
26.2  | 16.7   | 14.1   | 21.4    | 20.8
49.9  | 34.7   | 27.8   | 35.2    | 36.8
5.4   | 4.5    | 1.8    | 4.2     | 3.7
3.1   | 3.3    | 1.1    | 0.8     | 0.6
3.3   | 2.2    | 1.4    | 1.3     | 1.5
0.8   | 0.9    | 0.3    | 0.4     | 0.4
-     | -      | -      | 0.1     | 0.1
-     | -      | -      | -       | -
-     | -      | -      | -       |
0     | 0      | 2.9    | 0.7     | vest.
32.8  | 49.9   | 59.1   | 46.4    | 46.7
1433  | 1336   | 1293   | 1421    | 1705
5.6   | 6.6    | 7.4    | 7.4     | 7.5
6.6   | 7.6    | 8.0    | 8.4     | 8.4
5.3   | 6.0    | 6.8    | 6.7     | 6.4
-     | -      | -      | -       | -
3.7   | 6.4    | -      | -       | -
0.5   | 1.0    | 2.1    | 2.4     | 4.0
2.4   | 3.1    | 2.0    | 1.5     | 1.4
9.9   | 8.3    | -      | -       | -
2     | 3      | 5      | 7       | 12
24.4  | 33.7   | -      | -       | -
29.9  | 36.3   | 43.7   | 32.1    | 33.0
82    | 93     | -      | -       | -
