-     | -     | -     | -     | -      |
6895  | 6896  | 6897  | 6898  | 6899   | 6900
A1    | B1    | B21t  | B22t  | B31ca  | B32ca
03-18 | 22-38 | 42-57 | 64-78 | 83-105 | 120-130
4.93  | 3.12  | 1.85  | 1.13  | 0.53   | 0.31
0.217 | 0.126 | 0.078 | 0.044 | 0.031  | 0.026
13    | 14    | 14    | 15    | 10     | 7
30.36 | 37.53 | 45.13 | 47.15 | 40.01  | 39.40
34.45 | 28.62 | 26.75 | 29.41 | 28.41  | 28.01
66.26 | 60.05 | 52.92 | 50.63 | 58.04  | 58.64
1.25  | 0.70  | 0.71  | 0.75  | 0.51   | 0.58
2.12  | 1.59  | 1.23  | 1.42  | 1.41   | 1.36
0.01  | 0.13  | 0.01  | 0.05  | 0.03   | 0.02
-     | -     | -     | -     | -      | -
-     | -     | -     | 1.30  | 17.41  | 17.78
7.0   | 7.0   | 7.1   | 7.1   | 7.4    | 7.5
6.0   | 6.1   | 6.1   | 6.2   | 6.4    | 6.5
0.346 | 0.423 | 0.500 | 1.000 | 0.924  | 0.808
33.20 | 38.80 | 45.00 | 47.72 | 41.31  | 40.27
1.7   | 3.5   | 3.9   | 3.8   | 4.4    | 5.0
32.07 | 40.01 | 47.09 | 49.54 | 41.56  | 40.12
3.60  | 2.60  | 2.40  | 2.20  | 1.90   | 1.80
