-     | -     |
-     | -     |
A1    | IIC1  | IIIC2
10-25 | 45-60 | 70-90
6.12  | 0.04  | -
3.55  | 0.02  | -
0.416 | -     | -
9     | -     | -
28.4  | 27.1  | 17.9
49.3  | 57.4  | 55.6
63.3  | 70.7  | 80.1
4.7   | 1.4   | 1.5
3.3   | 0.6   | 0.1
0.2   | 0.1   | 0.2
0.1   | 0.1   | 0.2
-     | -     | -
-     | -     | -
-     | -     |
0     | 0     | 0
43.5  | 29.3  | 28.7
1402  | 1402  | 1332
5.3   | 6.8   | 6.7
5.9   | 7.2   | 7.4
4.9   | 6.0   | 6.1
-     | -     | -
6.1   | 7.8   | 4.8
0.9   | 0.8   | 0.9
0.6   | 0.2   | 0.2
15.9  | 4.1   | 3.6
3     | 4     | 5
21.7  | 21.8  | 16.9
29.7  | 21.7  | 17.6
73    | 100   | 96
