- | -    | 3642  | 3761  | 4335  | 4223  | 4078  | 3994 | 3865
- | -    | -     | -     | -     | -     | -     | -    |
d | Ca++ | 28.82 | 31.50 | 38.45 | 37.25 | 36.42 | ND   | ND
e | -    | -     | -     | -     | -     | -     | -    |
- | Mg++ | 2.49  | 2.67  | 2.58  | 2.12  | 1.18  | ND   | ND
c | -    | -     | -     | -     | -     | -     | -    |
a | K+   | 1.12  | 1.11  | 1.28  | 1.60  | 1.28  | 1.01 | 0.92
m | -    | -     | -     | -     | -     | -     | -    |
b | Na+  | 0.52  | 0.57  | 0.65  | 0.92  | 1.25  | 2.05 | 2.12
i | -    | -     | -     | -     | -     | -     | -    |
o | H+   | -     | -     | -     | -     | -     | -    | -
- | -    | 1.43  | 1.51  | 1.50  | 2.18  | 3.06  | 5.13 | 5.48
