-     | -     |
-     | -     |
A1    | IIC1  | IIIC2
12-26 | 46-64 | 110-125
1.00  | 0.06  | -
0.58  | 0.04  | -
0.130 | -     | -
5     | -     | -
28.1  | 24.4  | 22.4
39.6  | 40.2  | 54.8
66.9  | 70.4  | 75.4
2.1   | 3.3   | 0.8
2.4   | 1.6   | 1.2
0.3   | 0.2   | 0.1
0.2   | 0.1   | 0.1
-     | -     | -
-     | -     | -
-     | -     |
0     | 0     | 0
44.5  | 30.9  | 31.4
323   | 158   | 154
6.8   | 6.7   | 7.0
7.3   | 6.9   | 6.9
6.2   | 6.4   | 6.6
12.52 | 38.27 | 40.35
-     | -     | -
-     | -     | -
-     | -     | -
-     | -     | -
-     | -     | -
-     | -     | -
-     | -     | -
-     | -     | -
