- | -    | 2800  | 3992  | 3756  | 3786  | 3667  | 3656  | 367
- | -    | -     | -     | -     | -     | -     | -     |
d | Ca++ | 22.84 | 32.00 | 32.46 | 31.48 | 31.48 | 28.41 | 28.76
e | -    | -     | -     | -     | -     | -     | -     |
- | Mg++ | 1.76  | 2.69  | 2.76  | 2.99  | 3.16  | 3.87  | 3.75
c | -    | -     | -     | -     | -     | -     | -     |
a | K+   | 0.58  | 0.51  | 0.68  | 0.58  | 0.68  | 0.97  | 1.10
m | -    | -     | -     | -     | -     | -     | -     |
b | Na+  | 0.50  | 0.70  | 0.50  | 1.62  | 1.62  | 2.05  | 2.15
i | -    | -     | -     | -     | -     | -     | -     |
o | H+   | -     | -     | -     | -     | -     | -     | -
- | -    | 1.78  | 1.75  | 1.35  | 4.28  | 4.42  | 6.61  | 5.86
