21358 | 21359 | 21360 |   21361  |    21362
A11   | II    | III   |   IV     |    V
04-09 | 18-38 | 58-70 |   85-120 |    150-160
3.25  | 1.31  | 0.31  |   -      |    -
1.89  | 0.76  | 0.18  |   -      |    -
0.176 | 0.092 | -     |   -      |    -
11    | 8     | -     |   -      |    -
23.4  | 46.3  | 47.0  |   57.2   |    39.8
21.9  | 23.5  | 26.6  |   18.3   |    26.4
53.2  | 46.5  | 50.1  |   34.3   |    46.2
9.7   | 4.9   | 1.7   |   6.1    |    8.3
5.6   | 1.7   | 0.7   |   1.4    |    4.5
5.5   | 0.4   | 0.4   |   0.8    |    1.1
2.6   | 0.2   | 0.1   |   0.2    |    0.1
-     | -     | -     |   -      |
-     | -     | 0.8   |   -      |    -
-     | -     | Vest   (n) |      Vest  (n)     | Vest  (n)
21.7  | 49.2  | 52.7  |   59.2   |    37.3
828   | 203   | 179   |   138    |    179
5.7   | 6.8   | 7.2   |   7.2    |    7.2
6.2   | 7.1   | 7.7   |   7.7    |    7.6
2,5)
3.17  | 16.23 | 19.19 |   20.28  |    16.70
3.9   | -     | -     |   -      |    -
0.8   | -     | -     |   -      |    -
1.3   | -     | -     |   -      |    -
6.6   | -     | -     |   -      |    -
45    | 69    | 75    |   78     |    62
10.1  | -     | -     |   -      |    -
5.7   | -     | -     |   -      |    -
12.0  | -     | -     |   -      |    -
84    | -     | -     |   -      |    -
64    | -     | -     |   -      |    -
