-     | -     |
-     | -     |
A1    | IC1   | IIC2
5-12  | 20-42 | 50-72
2.01  | 0.06  | 0.74
1.17  | 0.04  | 0.43
0.117 | -     | 0.083
10    | -     | 5
9.6   | 6.7   | 28.1
3.2   | 3.0   | 27.3
5.8   | 4.2   | 45.7
0.1   | -     | 0.7
0.3   | 0.3   | 0.5
53.9  | 58.4  | 20.8
30.1  | 28.1  | 3.4
0.2   | 2.3   | 0.8
-     | -     | -
-     | -     |
0     | 0     | 0
7.6   | 3.3   | 28.1
4011  | 33884 | 14522
4.3   | 5.2   | 4.6
5.2   | 5.8   | 5.2
3.9   | 4.0   | 3.5
-     | -     | -
1.10  | 0.85  | 3.4
0.10  | 0.05  | 0.4
0.05  | 0.05  | 0.2
8.10  | 2.60  | 21.4
2     | 2     | 2
3.10  | 1.55  | 7.0
5.45  | 2.35  | 17.7
57    | 66    | 40
