-     | -     | -     | -     |
5272  | 5273  | 5274  | 5275  | 5276
A1    | B21t  | B22t  | B3    | Cca
04-17 | 25-35 | 55-72 | 80-95 | 105-120
3.95  | 1.99  | 1.22  | 0.75  | 0.68
0.15  | 0.09  | 0.08  | 0.05  | 0.04
15    | 13    | 9     | 10    | 9
25.97 | 43.47 | 38.98 | 34.10 | 34.69
30.89 | 21.71 | 23.39 | 26.43 | 27.63
68.89 | 52.99 | 57.04 | 61.33 | 60.93
4.83  | 3.32  | 3.76  | 4.28  | 4.08
0.31  | 0.21  | 0.22  | 0.28  | 0.29
0.00  | 0.01  | 0.01  | 0.01  | 0.01
-     | -     | -     | -     |
-     | -     | -     | -     |
6.3   | 6.9   | 7.2   | 7.2   | 8.3
5.3   | 5.4   | 5.6   | 5.8   | 7.1
-     | -     | -     | -     | -
88.61 | 91.15 | 95.34 | 97.17 | 99.65
22.6  | 33.9  | 33.3  | 32.6  | 32.5
-     | -     | -     | -     |
1.9   | 1.3   | 1.2   | 1.2   | 1.5
-     | -     | -     | -     |
0.68  | 0.74  | 0.71  | 0.65  | 0.42
-     | -     | -     | -     |
0.34  | 0.34  | 0.36  | 0.34  | 0.26
-     | -     | -     | -     |
3.1   | 3.0   | 2.1   | -     | -
-     | -     | -     | -     |
28.69 | 40.76 | 36.33 | 32.84 | 30.44
