-     | -     | -     |   -     |   -     |
1.072 | 1.073 | 1.074 |   1.075 |   1.076 |   1.077
Ap    | B1    | B21t  |   B22t  |   B31ca |   B32ca
0-12  | 14-23 | 37-48 |   6270  |   80-90 |   105-120
4.0   | 3.6   | 2.6   |   1.7   |   1.3   |   0.8
0.21  | 0.17  | 0.12  |   0.10  |   0.09  |   0.04
11    | 12    | 12    |   10    |   9     |   10
30.5  | 36.6  | 51.4  |   47.7  |   46.9  |   39.0
22.0  | 24.0  | 22.5  |   17.2  |   17.7  |   25.0
68.1  | 62.6  | 47.7  |   51.2  |   52.1  |   59.8
0.7   | 1      0 |     0.7 |     0.8 |     0.7 |       0.8
0.7   | 0.8   | 0.2   |   0.3   |   0.3   |   0.4
0.0   | 0.0   | 0.0   |   0.0   |   0.0   |   0.0
-     | -     | -     |   -     |   -     |   -
0.0   | 0.0   | 0.0   |   0.2   |   1.5   |   0.9
6.8   | 6.7   | 7.0   |   7.7   |   8.0   |   8.0
6.0   | 5.8   | 5.9   |   6.5   |   5.8   |   6.8
38.8  | 37.8  | 48.4  |   45.8  |   43.7  |   42.1
32.1  | 31.8  | 42.0  |   -     |   -     |   -
-     | -     | -     |   -     |   -     |
1.8   | 2.4   | 3.1   |   -     |   -     |   -
-     | -     | -     |   -     |   -     |
1.3   | 1.1   | 1.1   |   1.0   |   1.1   |   1.1
-     | -     | -     |   -     |   -     |
0.3   | 0.4   | 0.9   |   1.0   |   1.3   |   1.1
-     | -     | -     |   -     |   -     |
3.2   | 3.3   | 2.9   |   -     |   -     |   -
0.8   | 1.1   | 1.9   |   2.2   |   3.0   |   2.6
36.9  | 38.1  | 52.1  |   51.5  |   49.4  |   47.9
10.54 | 4.35  | 3.03  |   2.39  |   2.35  |   2.34
