-     | -     | -     | -     | -      |
11040 | 11041 | 11042 | 11043 | 11044  | 11045
A11   | A12   | B21t  | B22t  | B23tca | B3
05-15 | 25-35 | 40-60 | 70-85 | 95-110 | 120-140
4.75  | 4.01  | 3.63  | 2.65  | 1.87   | 1.14
2.76  | 2.33  | 2.11  | 1.54  | 1.09   | 0.56
0.181 | 0.154 | 0.118 | 0.087 | 0.053  | 0.044
15.25 | 15.13 | 17.88 | 17.70 | 20.57  | 15.00
30.01 | 31.41 | 46.26 | 46.53 | 49.02  | 48.40
38.00 | 38.77 | 32.43 | 33.36 | 36.24  | 3722
66.65 | 65.22 | 51.73 | 51.70 | 48.40  | 48.25
1.09  | 0.86  | 0.41  | 0.45  | 0.49   | 0.69
2.14  | 2.46  | 1.57  | 1.28  | 1.97   | 2.50
-     | -     | -     | -     | -      | -
0.09  | 0.05  | 0.03  | 0.04  | 0.12   | 0.16
0.02  | -     | -     | -     | -      | -
0.0   | 0.0   | 0.0   | 0.0   | 2.39   | 1.60
7.0   | 7.1   | 7.2   | 7.9   | 8.4    | 8.6
6.1   | 5.8   | 5.8   | 6.3   | 7.0    | 7.0
0,33  | 0,37  | 0,36  | 0,42  | 0,46   | 0,42
30,04 | 30,80 | 46,20 | 46,52 | 48,90  | 48,21
-     | -     | -     | -     | -      |
32.57 | 33.04 | 48.20 | 48.27 | 48.65  | 48.22
5.00  | 4.50  | 3.80  | 3.60  | 3.30   | 3.10
