7731  | 7732  | 7733  | 7734  | 7735  | 7736
A1    | B21t  | B22t  | B31ca | B32ca | C
02‑08 | 11‑20 | 24‑42 | 46‑60 | 67‑85 | 105‑115
4.01  | 2.70  | 1.92  | 1.09  | 0.60  | 0.37
0.15  | 0.14  | 0.10  | 0.06  | 0.03  | 0.03
14.70 | 10.90 | 10.20 | 8.90  | 9.70  | 6.90
21.49 | 33.68 | 40.70 | 40.62 | 35.87 | 30.23
21.67 | 16.73 | 18.76 | 21.73 | 22.44 | 26.58
52.44 | 46.42 | 43.61 | 45.07 | 50.28 | 55.15
5.58  | 4.46  | 3.81  | 4.34  | 3.78  | 3.70
19.59 | 14.54 | 11.09 | 9.24  | 9.42  | 10.20
0.85  | 0.88  | 0.74  | 0.67  | 0.60  | 0.67
0.05  | 0.02  | 0.05  | 0.06  | 0.05  | 0.05
0.00  | 0.00  | 0.00  | 1.77  | 0.77  | 0.17
6.1   | 6.7   | 7.7   | 8.4   | 8.3   | 8.2
5.0   | 5.9   | 6.8   | 7.5   | 7.4   | 7.4
0.84  | 0.79  | 1.01  | 1.77  | 1.55  | 1.12
22.32 | 27.25 | 34.70 | 34.00 | 27.45 | 21.43
2.55  | 6.97  | 7.92  | 7.94  | 7.29  | 7.00
23.17 | 29.95 | 38.66 | 38.74 | 34.62 | 31.90
