21239 | 21240 | 21241 | 21242
I     | II    | III   | IV
0-20  | 20-50 | 50-80 | 80-120
3.37  | 23.43 | 17.54 | 8.26
1.96  | 13.62 | 10.20 | 4.80
0.160 | 0.756 | 0.90  | 0.43
12    | 18    | 11    | 10
47.0  | 64.8  | 56.3  | 59.8
34.4  | 23.0  | 29.1  | 30.2
52.3  | 32.6  | 37.8  | 35.7
0.5   | 1.3   | 2.4   | 2.1
0.1   | 1.2   | 2.5   | 1.3
0.1   | 0.1   | 1.0   | 1.1
-     | -     | -     | -
-     | -     | -     |
-     | -     | -     | -
-     | -     | -     | -
48.1  | 61.5  | 51.9  | 44.9
1487  | 3123  | 2231  | 1041
4.3   | 4.6   | 4.4   | 3.9
4.5   | 4.9   | 4.6   | 4.1
2,5)
-     | -     | -     | -
6.4   | 5.9   | 5.8   | 3.3
0.7   | 1.8   | 1.8   | 1.7
1.0   | 0.5   | 0.5   | 0.7
2.28  | 2.84  | 3.6   | 4.4
81    | 100   | 81    | 77
12.7  | 26.1  | 21.8  | 18.4
23.2  | 45.1  | 34.1  | 29.6
31.1  | 63.4  | 50.0  | 38.8
41    | 41    | 44    | 47
35    | 37    | 39    | 38
-     | -     | -     | -
1.14  | 1.28  | 1.08  | 1.11
