-     |  -     |     -     |     -      |
11078 |  11079 |     11080 |     11081  |     11082
A1    |  B21t  |     B22t  |     B3ca   |     Cca
05-15 |  25-45 |     55-70 |     80-100 |     135-145
3.65  |  2.06  |     2.10  |     0.26   |     0.22
2.12  |  1.20  |     1.22  |     0.26   |     0.22
0.174 |  0.087 |     0.076 |     0.043  |     0.017
12.18 |  13.79 |     16.05 |     6.05   |     12.94
21     32 |     28.01 |     34.55 |      34.75 |       35.28
20.72 |  23.09 |     21.91 |     21.82  |     22.05
35.37 |  37.22 |     33.73 |     31.84  |     39.66
0.71  |  0.63  |     0.39  |     1.90   |     1.14
39.40 |  32.28 |     29.89 |     29.57  |     22.88
-     |  -     |     -     |     -      |     -
3.15  |  1.80  |     1.38  |     1.80   |     0.84
0.05  |  0.06  |     0.06  |     0.14   |     0.20
0.0   |  0.0   |     0.0   |     5.32   |     9.10
6.6   |  6.9.  |     7.6   |     8.5    |     8.8
5.9   |  5.7   |     6.3   |     7.2    |     7.2
0.69  |  0.20  |     0.32  |     0.23   |     0.50
18.90 |  22.01 |     33.82 |     34.96  |     34.92
0.059 |  0.055 |     0.040 |     0.049  |     0.053
23.68 |  28.87 |     35.33 |     33.93  |     37.10
11.40 |  4.90  |     3.90  |     3.40   |     2.70
