- | -    | 3151  | 3228  | 3413  | 4901  | 5055 | 4573
- | -    | -     | -     | -     | -     | -    |
d | Ca++ | 28.01 | 25.71 | 31.40 | 33.70 | ND   | ND
e | -    | -     | -     | -     | -     | -    |
- | Mg++ | 1.73  | 4.05  | 3.72  | 2.95  | ND   | ND
c | -    | -     | -     | -     | -     | -    |
a | K+   | 1.27  | 0.66  | 0.38  | 0.34  | 0.42 | 0.43
m | -    | -     | -     | -     | -     | -    |
b | Na+  | 1.02  | 1.17  | 2.00  | 2.55  | 4.90 | 4.70
i | -    | -     | -     | -     | -     | -    |
o | H+   | -     | 0.79  | -     | 0.47  | -    | -
- | -    | 3.24  | 3.62  | 5.86  | 5.20  | 9.69 | 10.28
