- | -    | 2321  | 2866  | 2734  | 2642  | 4046  | 3629
- | -    | -     | -     | -     | -     | -     |
d | Ca++ | 14.08 | 21.54 | 19.96 | 18.72 | 33.20 | 31.61
e | -    | -     | -     | -     | -     | -     |
- | Mg++ | 1.23  | 1.17  | 1.70  | 2.28  | 2.51  | 2.22
c | -    | -     | -     | -     | -     | -     |
a | K+   | 0.48  | 0.36  | 0.24  | 0.25  | 0.60  | 0.24
m | -    | -     | -     | -     | -     | -     |
b | Na+  | 0.41  | 0.62  | 0.57  | 0.67  | 8.75  | 1.25
i | -    | -     | -     | -     | -     | -     |
o | H+   | -     | -     | -     | -     | -     | -
- | -    | 1.77  | 2.16  | 2.08  | 2.53  | 1.85  | 3.45
