-     | -     | -     | -     | -      | -       |
-     | -     | -     | -     | -      | -       |
A11   | A12   | IIC1  | IIIC2 | IVC3   | VC4     | VIC5
2-4   | 10-20 | 25-35 | 50-80 | 95-108 | 114-122 | 130-140
1.19  | 1.05  | 1.09  | 0.17  | -      | -       | -
0.69  | 0.61  | 0.63  | 0.10  | -      | -       | -
0.090 | 0.088 | 0.090 | -     | -      | -       | -
8     | 7     | 7     | -     | -      | -       | -
16.1  | 18.6  | 31.4  | 16.8  | 21.4   | 4.7     | 23.3
24.5  | 31.8  | 48.6  | 22.9  | 45.3   | 1.5     | 51.2
37.1  | 46.4  | 58.8  | 38.0  | 63.3   | 2.6     | 69.2
0.2   | 0.6   | 0.6   | 0.8   | 0.6    | 0.1     | 0.2
0.8   | 0.5   | 0.2   | 0.3   | 0.9    | 0.4     | 0.4
36.2  | 25.3  | 7.0   | 31.1  | 11.8   | 73.8    | 5.4
8.4   | 8.3   | 1.8   | 12.8  | 1.8    | 18.0    | 1.2
1.2   | 0.3   | 0.1   | 0.2   | 0.1    | 0.4     | 0.1
-     | -     | -     | -     | -      | -       | -
-     | -     | -     | -     | -      | -       |
0     | 0     | 0.1   | vest. | 0.1    | vest.   | 0.2
20.0  | 27.0  | 45.5  | 25.3  | 29.4   | 4.4     | 31.3
356   | 277   | 185   | 172   | 110    | 840     | 113
7.5   | 7.1   | 8.4   | 8.4   | 8.4    | 8.2     | 8.5
8.4   | 9.3   | 9.1   | 9.1   | 9.1    | 9.0     | 8.9
6.6   | 7.1   | 7.2   | 7.1   | 6.5    | 6.4     | 6.4
11.24 | 14.53 | 15.60 | 22.78 | 29.50  | 6.83    | 29.50
1.8   | -     | -     | -     | -      | -       | -
4.0   | -     | -     | -     | -      | 2.1     | -
0.9   | -     | -     | -     | -      | 0.1     | -
1.0   | -     | -     | -     | -      | -       | -
34    | -     | -     | -     | -      | 26      | -
11.4  | -     | -     | -     | -      | 8.0     | -
11.7  | -     | -     | -     | -      | -       | -
97    | -     | -     | -     | -      | -       | -
