-     | -     | -     |
1078  | 1079  | 1080  | 1081
A1    | B21t  | B22ca | B3ca
00-08 | 15-26 | 39-54 | 82-99
3.1   | 2.0   | 1.5   | 0.2
10    | 9     | 10    | -
35.3  | 40.5  | 38.6  | 32.9
26.1  | 24.4  | 18.7  | 16.2
63.4  | 58.6  | 60.7  | 66.3
1.0   | 0.6   | 0.5   | 0.6
0.2   | 0.2   | 0.1   | 0.1
0.1   | 0.1   | 0.1   | 0.1
0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.3   | 4.4   | 10.9
7.0   | 8.2   | 8.4   | 8.5
5.9   | 6.8   | 7.0   | 7.0
36.2  | 49.6  | 48.3  | 36.5
5.2   | 7.3   | 7.4   | 10.1
40.2  | 55.1  | 56.3  | 50.4
