perfil_n_5c_inta_castelar: ii|iii
NÂº 				 Laboratorio: 30549|30550
Profundidad 				 (cm): -|-
Factor 				de humedad: -|-
Ca 				CO3  				(%): -|-
Resistencia 				de la pasta: -|-
pH 				en pasta: -|-
pH 				en H2O 				(1: 2.5): -|-
Conductividad 				(mmhos/cm): 4.0|6.5
Ca++: 0.8|1.3
Mg++: 1.9|2.1
Na 				+: 36.8|62.4
K 				+: 0.2|0.3
HCO-3: 4.2|3.8
SO4++: 0.8|1.4
Cl 				-: 36.8|62.4
Valor 				T (m.e./1) Na: -|-
Sodio 				en cambio (m.e./1): -|-
Sodio 				cambiable: -|-
