er226c: -|-|-|-|-|
NÂº 				de registro: 506|507|508|509|510|511
Horizonte: Ap|A12|B1|B22t|B3ca|C
Profundidad 				(cm): 00-14|14-28|32-43|50-62|80-90|100-125
Mat. 				orgÃ¡nica (%): 3.0|2.8|1.4|1.2|0.5|0.3
N 				(%): 0.21|0.17|0.10|0.07|0.06|0.03
C/N: 11|11|8|9|5|5
T 				                < 2 Âµ: 18.2|18.0|28.1|32.0|33.2|23.9
E 				              2-20 Âµ: 22.2|21.2|20.9|21.1|20.4|25.2
X 				             2-50 Âµ: 54.6|54.4|52.1|49.9|51.7|60.8
T 				          50-100 				Âµ: 2.3|2.5|1.8|1.8|1.4|1.9
U 				        100-250 				Âµ: 14.4|15.9|11.2|10.0|8.5|8.6
R 				        250-500 				Âµ: 10.2|9.0|6.5|5.9|5.0|4.6
A 				      500-1000 				Âµ: 0.3|0.2|0.3|0.4|0.2|0.2
CO3Ca 				(%): 0.0|0.0|0.0|0.0|4.5|0.0
pH 				H2O: 5.2|5.3|5.6|6.4|7.3|7.0
pH 				ClK: 4.9|5.0|5.2|5.9|6.6|6.3
Capacidad 				de intercambio  catiÃ³nico 				(meq/100 g) =  valor 				T: 20.0|19.2|28.0|28.2|25.0|24.6
d 				    Ca++: 12.0|12.4|19.8|22.4|-|19.2
C 				 e: -|-|-|-|-|
a 				       Mg++: 2.0|2.2|2.7|2.3|-|3.3
t 				 c: -|-|-|-|-|
i 				 a     K+: 1.2|0.8|1.2|1.2|1.3|1.3
o 				 m: -|-|-|-|-|
n 				 b     Na+: 0.2|0.2|0.2|0.3|0.4|0.4
e 				 i: -|-|-|-|-|
s 				 o     H+: 5.8|4.9|3.9|2.9|-|1.0
% 				Na/T: -|-|-|-|-|-
Equivalente 				de humedad (%): 20.7|20.6|30.0|32.7|33.2|29.3
