er7150c: -|-|-|-|-|-|-|
NÂ° 				de registro: 13516|13517|13518|13519|13520|13521|13522|13523
Horizonte: Ap|A12|B21|B22t|B23|B3|Cca|C 				2
Profundidad 				(cm): 00-08|10-20|20-30|45-55|70-80|90-100|120-130|160
Mat.orgÃ¡nica 				(%): 6.54|4.61|3.90|2.72|2.49|0.92|0.84|0.30
C 				(%): 3.80|2.68|2.27|1.58|1.45|0.54|0.49|0.27
N 				(%): 0.303|0.219|0.189|0.031|0.084|0.044|0.022|0.017
C/N: 12.54|12.24|12.01|12.06|17.26|12.27|22.27|15.88
T 				                      <2 Âµ: 43.23|43.79|49.98|51.13|48.71|48.00|49.50|47.10
E 				                   2-20 Âµ: 28.73|27.76|25.37|21.28|26.30|27.77|27.01|27.35
X 				                  2-50 Âµ: 52.71|51.70|45.58|44.63|48.11|47.41|47.24|48.95
T 				               50-100 Âµ: 0.81|0.77|0.81|0.45|0.57|0.81|0.83|1.40
U 				             100-250 Âµ: 3.08|3.57|3.41|3.56|2.47|3.68|2.33|2.45
R 				             250-500 Âµ: -|-|-|-|-|-|-|-
A 				          500-1000 Âµ: 0.17|0.17|0.22|0.23|0.14|0.10|0.10|0.10
CO3Ca 				(%): 0.0|0.0|0.0|0.0|0.0|7.66.|2.79|1.98
pH 				H2O: 6.7|7.0|7.1|7.7|8.5|8.9|8.4|8.6
pH 				ClK: 5.7|5.9|5.8|6.4|7.0|7.2|7.0|7.0
Conductividad 				elÃ©ctrica 1:4 (dS/m): 0.149|0.167|0.146|0.168|0.219|0.246|0.237|0.149
Capacidad 				de intercambio catiÃ³nico  (cmol 				(+)/kg) =  Valor 				T: 33.7|37.6|41.6|48.3|48.1|39.3|40.3|0.219
Equivalente 				de humedad  (%): 42.26|43.93|51.41|53.18|50.20|50.01|49.14|47.18
Factor 				de humedad: 1.08|1.08|1.09|1.13|1.13|1.13|1.11|1.11
P 				disponible  (ppm): 10.7|3.60|2.50|1.60|1.40|1.20|1.1|0.9
K 				disponible (mg/kg): 462.2|332.4|305.8|249.5|183.0|179.5|319.1|365.6
Ca 				disponible (mg/kg): 5350,7|5531.0|5851.7|6553.1|6613.2|5190.4|5851.7|4248.5
Mg 				disponible (mg/kg): 401,3|243.2|389.1|802.6|571.5|778.2|255.4|1313.3
