er7126c: -|-|-|-|-|
NÂº 				de registro: 2317|2318|2319|2320|2321|2322
Horizonte: A11|A12|B21t|B22t|B2|Cca
Profundidad 				(cm): 02-18|25-32|46-60|72-82|102-113|130-140
Materia 				orgÃ¡nica (%): 7.0|3.7|2.3|1.4|0.8|0.5
N 				(%): 0.31|0.13|0.09|0.07|0.05|0.03
C/N: 13|17|15|11|9|8
T 				                     < 2 Î¼: 29.09|29.05|43.73|43.99|42.02|41.20
E 				                   2-20 Î¼: 28.29|30.16|25.44|26.01|26.80|27.30
X 				                   2-50 Î¼: 65.36|66.73|53.20|53.43|54.97|56.09
T 				               50-100 Î¼: 1.57|1.45|0.55|0.95|1.74|1.36
U 				             100-500 Î¼: 3.97|2.76|2.51|1.62|1.22|1.31
R 				           500-1000 Î¼: 0.01|0.01|0.01|0.01|0.05|0.04
A: -|-|-|-|-|
: -|-|-|-|-|
CO3Ca 				(%): 0.0|0.0|0.0|0.24|0.35|4.87
pH 				H2O: 6.7|6.8|7.0|7.9|8.1|8.2
pH 				ClK: 6.2|6.2|6.2|6.8|7.1|7.3
CE 				(mmhos/cm): 1.186|0.762|0.516|0.439|0.885|1.424
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 32.60|30.10|39.80|37.20|36.80|34.30
d 				    Ca++: 22.60|21.90|29.70|30.10|29.80|-
C 				 e: -|-|-|-|-|
a 				         Mg++: 3.20|2.90|2.30|2.60|2.80|-
t 				   c: -|-|-|-|-|
i 				   a     K+: 2.40|1.90|1.70|1.50|1.20|1.30
o 				  m: -|-|-|-|-|
n 				  b     Na+: 0.40|0.60|1.20|1.40|2.80|2.90
e 				  i: -|-|-|-|-|
s 				  o     H+: -|-|-|-|-|-
: -|-|-|-|-|
% 				Na/T: 1.23|1.99|3.01|3.76|7.60|8.50
: -|-|-|-|-|
Equivalente 				de humedad (%): 30.70|28.41|43.16|41.87|39.65|38.06
FÃ³sforo 				asimilable (ppm): 28.96|26.16|17.54|14.63|14.34|-
