er776c: -|-|-|-|-|-|
NÂº 				de registro: 5254|5255|5256|5257|5258|5259|5260
Horizonte: A11|A12|B1|B21t|B22t|B3|Cca
Profundidad 				(cm): 03-12|17-27|30-40|45-55|65-75|95-120|140 				+
Materia 				orgÃ¡nica (%): 3.69|3.05|1.91|1.50|1.12|0.44|0.22
N 				(%): 0.15|0.14|0.09|0.08|0.06|0.03|0.03
C/N: 14|13|13|12|10|7|5
T 				                     < 2 Î¼: 24.02|24.79|34.39|39.78|37.22|34.88|35.34
E 				                   2-20 Î¼: 29.30|30.65|28.61|25.21|27.19|26.45|28.18
X 				                   2-50 Î¼: 70.30|69.87|61.15|56.50|58.90|59.90|59.06
T 				               50-100 Î¼: 5.35|5.06|4.21|3.56|3.69|5.16|5.27
U 				             100-500 Î¼: 0.32|0.26|0.23|0.16|0.17|0.22|0.33
R 				           500-1000 Î¼: 0.01|0.02|0.03|-|0.01|0.02|-
A: -|-|-|-|-|-|
: -|-|-|-|-|-|
CO3Ca 				(%): -|-|-|-|-|-|0.6
pH 				H2O: 6.3|6.3|6.5|6.7|7.0|8.0|8.3
pH 				ClK: 5.2|5.2|5.1|5.2|5.4|6.3|7.0
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 27.90|29.30|31.80|35.50|33.20|34.00|32.50
d 				    Ca++: 22.80|23.10|25.90|28.70|27.80|28.00|28.30
C 				 e: -|-|-|-|-|-|
a 				         Mg++: 1.80|2.30|2.30|2.50|2.10|4.00|2.50
t 				   c: -|-|-|-|-|-|
i 				   a     K+: 0.62|0.84|0.81|0.71|0.74|0.68|0.65
o 				  m: -|-|-|-|-|-|
n 				  b     Na+: 0.26|0.31|0.34|0.26|0.40|0.43|0.47
e 				  i: -|-|-|-|-|-|
s 				  o     H+: 2.40|2.50|2.00|2.10|2.00|-|-
: -|-|-|-|-|-|
Equivalente 				de humedad (%): 26.16|27.78|30.71|36.33|36.10|32.49|30.55
