n_de_registro: 7201|7202|7203|7204|7205
Horizonte: A11|A12|IIB2t|IIB3|IIC
Profundidad (cm): 03‑20|35‑60|72‑90|100‑115|130‑150
Materia orgÃ¡nica (%): 1.40|0.60|0.45|0.23|0.08
N (%): 0.08|0.04|0.04|0.04|0.03
C/N: 9.74|8.00|5.33|3.24|1.43
T       				                 < 2 Âµ: 7.43|8.56|23.85|27.60|6.1
E                      				2-20 Âµ: 8.49|7.17|5.78|12.09|6.12
X                      				2-50 Âµ: 15.80|11.97|16.19|26.15|32.64
T                   50-100 				Âµ: 0.98|0.41|0.13|0.25|0.53
U                 100-500 				Âµ: 72.38|74.70|57.07|44.11|43.08
R               500-1000 Âµ: 3.39|4.27|2.69|1.69|1.09
A             1000-2000 Âµ: 0.02|0.09|0.07|0.20|0.05
CO3Ca 				(%): 0.0|0.0|0.0|0.0|0.0
PH H2O: 6.0|6.1|6.1|6.3|6.7
pH ClK: 5.1|5.3|5.3|5.4|5.9
C.E. (mmhos/cm): 0.40|0.17|0.18|0.17|0.61
Capacidad de intercambio  catiÃ³nico (meq/100 g) =  valor T: 7.90|6.80|10.99|16.60|12.80
% Na/T: 2.15|1.47|1.09|1.81|2.34
Equivalente de humedad (%): 8.71|8.05|20.06|23.16|20.81
