n_de_registro: 7731|7732|7733|7734|7735|7736
Horizonte: A1|B21t|B22t|B31ca|B32ca|C
Profundidad 				(cm): 02‑08|11‑20|24‑42|46‑60|67‑85|105‑115
Materia 				orgÃ¡nica (%): 4.01|2.70|1.92|1.09|0.60|0.37
N 				(%): 0.15|0.14|0.10|0.06|0.03|0.03
C/N: 14.70|10.90|10.20|8.90|9.70|6.90
T 				              < 2 Âµ: 21.49|33.68|40.70|40.62|35.87|30.23
E 				            2-20 Âµ: 21.67|16.73|18.76|21.73|22.44|26.58
X 				           2-50 Âµ: 52.44|46.42|43.61|45.07|50.28|55.15
T 				        50-100 Âµ: 5.58|4.46|3.81|4.34|3.78|3.70
U       100-500 Âµ: 19.59|14.54|11.09|9.24|9.42|10.20
R 				     500-1000 Âµ: 0.85|0.88|0.74|0.67|0.60|0.67
A 				   1000-2000 Âµ: 0.05|0.02|0.05|0.06|0.05|0.05
CO3Ca 				(%): 0.00|0.00|0.00|1.77|0.77|0.17
pH 				H2O: 6.1|6.7|7.7|8.4|8.3|8.2
pH 				ClK: 5.0|5.9|6.8|7.5|7.4|7.4
C.E. 				(mmhos/cm): 0.84|0.79|1.01|1.77|1.55|1.12
Capacidad de intercambio  catiÃ³nico (meq/100 g) = valo 				r T: 22.32|27.25|34.70|34.00|27.45|21.43
% 				Na/T: 2.55|6.97|7.92|7.94|7.29|7.00
Equivalente 				de humedad (%): 23.17|29.95|38.66|38.74|34.62|31.90
