n_de_registro: 21235|21236|21237|21238
Horizonte: I|II|III|IV
Profundidad 				(cm): 0-15|90-105|135-155|175-190
Mat.orgÃ¡nica 				(%): 17.37|0.95|1.32|-
C 				(%): 10.1|0.55|0.77|-
N 				(%): 0.806|0.053|-|-
C/N: 13|10|-|-
T 				                                      <2 Âµ: 57.4|19.9|14.6|10.8
E 				                                   2-20 Âµ: 26.9|10.3|8.3|1.5
X 				                                  2-50 Âµ: 36.7|40.1|28.7|10.8
T 				                                 50-74 Âµ: 2.5|14.9|23.3|42.7
U 				                              74-100 Âµ: 1.7|24.1|28.5|33.6
R 				                             100-250 Âµ: 1.5|0.6|4.3|2.0
A 				                             250-500 Âµ: 0.2|0.4|0.6|0.1
500-1000 Âµ: -|-|-|-
Gravilla 				(> 2  Tosca Ca %: -|-|-|-
CO3Ca 				(%) V: -|-|-|-
Equivalente 				de humedad (%): 69.8|15.7|9.2|6.4
Resiten. 				de la pasta (Ohms/cm): 2156|4610|3792|3569
pH 				en pasta: 5.0|4.9|4.9|4.8
pH 				en agua (1:2,5): 5.2|5.2|5.2|5.0
pH 				en 1 N KCl (1:2,5): 4.3|4.2|4.2|4.2
Conductividad 				(mmhos/cm): -|-|-|-
Mg++: 9.1|1.7|1.1|0.7
Na+: 1.7|0.4|0.4|0.4
K+: 0.5|0.2|0.2|0.2
% 				Na+ 				en cambio de v. T: 2.6|4.2|5.5|9.0
% 				de agua de saturaciÃ³n: 122|34|34|32
Valor 				S (m.e./100 g): 31.4|7.7|5.2|3.2
H 				de cambio (m.e./100 g): 43.6|4.9|3.4|2.0
Valor 				T (m.e./100) NH4++ 				 o 				Na+: 65.2|9.5|7.3|4.4
% 				de saturaciÃ³n de T: 48|81|71|72
% 				de saturaciÃ³n de S + H: 42|61|60|61
FÃ³sforo 				asimilable (ppm): -|-|-|-
Factor 				de humedad: 1.24|1.01|1.01|1.01
