341c_inta_castelar: -|-|-|
NÂ° 				de registro: -|-|-|
Horizonte: A1|IIC1|IIIC2|IVC3
Profundidad 				(cm): 5-10|20-30|70-85|125-135
Mat. 				orgÃ¡nica (%): 6.96|1.28|0.48|-
C 				(%): 4.04|0.74|0.28|-
N 				(%): 0.228|0.068|-|-
C/N: 18|11|-|-
T 				                                  <2 Âµ: 31.4|35.5|61.3|12.5
E 				                               2-20 Âµ: 27.3|17.5|27.5|0.2
X 				                              2-50 Âµ: 36.4|24.4|31.2|3.3
T 				                            50-74 Âµ: 4.9|2.7|0.5|0.3
U 				                          74-100 Âµ: 3.7|4.9|0.8|0.7
R 				                        100-250 Âµ: 14.7|18.1|2.7|53.4
A 				                        250-500 Âµ: 7.6|13.0|1.3|29.2
500-1000 Âµ: 1.3|1.3|0.4|0.6
1000-2000 				Âµ: -|0.1|-|-
: -|-|-|
CO3Ca 				(%): 0|0|vest 				(n)|vest 				(n)
Equivalente 				de humedad  (%): 32.2|36.4|58.2|15.4
Resistencia 				de la pasta (Ohms/cm): 1553|373|202|590
pH 				en pasta: 5.3|6.1|7.3|7.5
pH 				en agua (1:2,5): 6.4|7.6|8.0|8.6
pH 				en KCl (1:2,5): 4.5|5.9|6.5|6.8
Conductividad 				(mmhos/cm): -|0.09|17.33|8.29
Mg++: 4.2|4.4|-|-
Na+: 2.3|8.1|-|-
K+: 0.8|0.3|-|-
H+: 13.0|3.7|-|-
Na+ 				% del valor T: 10|34|-|-
Suma 				de bases, m.e./100 gr (S): 16.8|21.1|-|-
C.I.C., 				m.e./100 gr (T): 23.5|23.6|-|-
SaturaciÃ³n 				con bases, (%) (S/T): 72|89|-|-
