er1120c: -|-|-|-|-|
NÂ° de registro: 7670|7671|7672|7673|7674|7675
Horizonte: A1|B21t|B22t|B23tca|B3ca|Cca
Profundidad (cm: 04-18|25-35|42-55|65-90|95-120|130-145
Mat.orgÃ¡nica (%): 3.90|2.04|1.30|0.61|0.38|0.23
N (%): 0.198|0.114|0.090|0.040|0.028|0.025
C/N: 11|10|8|9|8|5
T       				                    <2 Âµ: 34.11|45.72|48.12|43.99|41.23|40.01
E                        				2-20 Âµ: 33.65|34.19|30.50|32.15|29.15|27.21
X                       				2-50 Âµ: 63.13|52.75|49.91|53.99|57.12|58.24
T                   50-100 				Âµ: 0.74|0.14|0.72|0.68|0.39|0.54
U                 100-500 				Âµ: 2.01|1.38|1.24|1.33|1.15|1.20
R               500-1000 Âµ: 0.01|0.01|0.01|0.01|0.01|0.01
A             1000-2000 Âµ: 0.00|0.00|0.00|0.00|0.00|0.00
CO3Ca 				(%): -|-|0.04|1.17|8.61|11.22
pH H2O: 6.7|7.8|8.1|8.4|8.6|8.6
pH ClK: 5.7|6.3|6.7|7.0|7.1|7.2
C.E. (mmhos/cm): 0.390|0.329|0.446|0.477|0.500|0.508
Capacidad de intercambio 				catiÃ³nico (m.e./100 g) =Valor T: 35.22|43.76|47.80|44.08|40.03|40.30
% Na/T: 4.31|4.57|4.70|5.67|7.24|7.57
Equivalente de humedad (%): 36.10|47.00|48.99|45.93|43.02|40.77
P asimilable (ppm): 5.3|2.0|1.9|1.7|1.2|1.0
