er785c: -|-|-|-|
NÂº 				de registro: 5305|5306|5307|5308|5309
Horizonte: Ap|B21t|B22t|B3|Cca
Profundidad 				(cm): 14-25|35-50|54-70|85-95|+ 				102
Materia 				orgÃ¡nica (%): 3.27|1.28|0.74|0.36|0.22
N 				(%): 0.13|0.07|0.05|0.04|0.03
C/N: 14|10|8|6|4
T 				                < 2 Î¼: 19.39|34.15|27.03|20.40|39.18
E 				              2-20 Î¼: 24.81|20.01|23.25|27.28|28.10
X 				             2-50 Î¼: 68.82|57.60|62.55|67.82|48.63
T 				          50-100 Î¼: 11.02|7.68|9.77|10.94|10.62
U 				       100-250 Î¼: 0.79|0.56|0.62|0.82|1.49
R 				       250-500 				Î¼: -|-|-|-|-
A 				     500-1000 Î¼: 0.01|0.01|0.03|0.02|0.04
1000-2000 				Î¼: -|-|-|-|-
CO3Ca 				(%): -|-|-|-|4.8
pH 				H2O: 6.1|7.0|7.0|7.1|8.5
pH 				ClK: 5.5|5.7|5.9|5.8|7.2
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 21.7|29.4|28.1|26.1|28.5
d 				    Ca++: 14.8|21.7|20.4|18.2|22.7
C 				 e: -|-|-|-|
a 				         Mg++: 1.7|2.8|3.4|3.1|3.2
t 				   c: -|-|-|-|
i 				   a     K+: 2.3|2.2|1.7|2.2|2.1
o 				  m: -|-|-|-|
n 				  b     Na+: 0.86|0.55|0.65|0.70|2.20
e 				  i: -|-|-|-|
s 				  o     H+: 1.0|1.2|0.8|0.9|N.D.
: -|-|-|-|
